X_numpy,opp1 hands,opp2 hands,opp3 hands,opp1_waiting_yes,opp1_waiting_no,opp2_waiting_yes,opp2_waiting_no,opp3_waiting_yes,opp3_waiting_no,effect1,effect2,effect3
train237,,,,1,0,0,1,1,0,,,
train238,,,,1,0,0,1,1,0,,,
train239,,,,1,0,0,1,1,0,,,
train240,,,,0,1,0,1,1,0,,,
train241,,,,0,1,0,1,1,0,,,
train242,,,,0,1,0,1,1,0,,,
train243,,,,0,1,1,0,1,0,,,
train244,,,,0,1,0,1,0,1,,,
train245,,,,1,0,0,1,0,1,,,
train246,,,,1,0,0,1,0,1,,,
train247,,,,1,0,0,1,1,0,,,
train248,,,,0,1,1,0,0,1,,,
train249,,,,0,1,1,0,0,1,,,
train250,,,,0,1,1,0,0,1,,,
train251,,,,0,1,1,0,1,0,,,
train252,,,,1,0,0,1,0,1,,,
train253,,,,1,0,0,1,1,0,,,
train254,,,,1,0,0,1,1,0,,,
train255,,,,1,0,1,0,1,0,,,
train256,,,,1,0,1,0,1,0,,,
train257,,,,1,0,1,0,1,0,,,
train258,,,,1,0,1,0,1,0,,,
train259,,,,1,0,1,0,1,0,,,
train260,,,,1,0,1,0,1,0,,,
train261,,,,1,0,1,0,1,0,,,
train262,,,,1,0,1,0,1,0,,,
train263,,,,1,0,1,0,1,0,,,
train264,,,,1,0,0,1,0,1,,,
train265,,,,1,0,1,0,0,1,,,
train266,,,,1,0,1,0,0,1,,,
train267,,,,1,0,1,0,0,1,,,
train268,,,,0,1,0,1,0,1,,,
train269,,,,0,1,0,1,0,1,,,
train270,,,,1,0,0,1,0,1,,,
train271,,,,1,0,0,1,0,1,,,
train272,,,,0,1,0,1,0,1,,,
train273,,,,0,1,0,1,0,1,,,
train274,,,,1,0,0,1,0,1,,,
train275,,,,1,0,1,0,0,1,,,
train276,,,,0,1,0,1,0,1,,,
train277,,,,0,1,0,1,0,1,,,
train278,,,,0,1,0,1,0,1,,,
train279,,,,1,0,0,1,0,1,,,
train280,,,,0,1,1,0,1,0,,,
train281,,,,0,1,1,0,1,0,,,
train282,,,,0,1,1,0,1,0,,,
train283,,,,0,1,1,0,1,0,,,
train284,,,,1,0,0,1,0,1,,,
train285,,,,1,0,1,0,1,0,,,
train286,,,,1,0,1,0,1,0,,,
train287,,,,1,0,1,0,1,0,,,
train288,,,,0,1,0,1,0,1,,,
train289,,,,0,1,0,1,0,1,,,
train290,,,,1,0,0,1,1,0,,,
train291,,,,1,0,1,0,1,0,,,
train292,,,,0,1,0,1,0,1,,,
train293,,,,0,1,1,0,0,1,,,
train294,,,,0,1,1,0,0,1,,,
train295,,,,1,0,1,0,1,0,,,
train296,,,,1,0,1,0,1,0,,,
train297,,,,1,0,1,0,1,0,,,
train298,,,,1,0,1,0,1,0,,,
train299,,,,1,0,1,0,1,0,,,
train300,,,,0,1,1,0,1,0,,,
train301,,,,1,0,1,0,1,0,,,
train302,,,,1,0,1,0,1,0,,,
train303,,,,1,0,1,0,0,1,,,
train304,,,,1,0,1,0,1,0,,,
train305,,,,1,0,1,0,1,0,,,
train306,,,,1,0,1,0,1,0,,,
train307,,,,1,0,1,0,1,0,,,
train308,,,,1,0,1,0,0,1,,,
train309,,,,1,0,1,0,0,1,,,
train310,,,,1,0,1,0,0,1,,,
train311,,,,1,0,1,0,0,1,,,
train312,,,,1,0,0,1,0,1,,,
train313,,,,1,0,1,0,1,0,,,
train314,,,,1,0,1,0,1,0,,,
train315,,,,1,0,1,0,1,0,,,
train316,,,,0,1,0,1,0,1,,,
train317,,,,0,1,0,1,0,1,,,
train318,,,,1,0,1,0,0,1,,,
train319,,,,1,0,1,0,1,0,,,
train320,,,,1,0,1,0,1,0,,,
train321,,,,1,0,1,0,1,0,,,
train322,,,,1,0,1,0,1,0,,,
train323,,,,1,0,1,0,1,0,,,
train324,,,,1,0,1,0,0,1,,,
train325,,,,1,0,1,0,0,1,,,
train326,,,,1,0,1,0,0,1,,,
train327,,,,1,0,1,0,0,1,,,
train328,,,,0,1,1,0,1,0,,,
train329,,,,0,1,1,0,1,0,,,
train330,,,,0,1,1,0,1,0,,,
train331,,,,0,1,1,0,1,0,,,
train332,,,,1,0,1,0,0,1,,,
train333,,,,1,0,1,0,0,1,,,
train334,,,,1,0,1,0,0,1,,,
train335,,,,1,0,1,0,0,1,,,
train336,,,,1,0,1,0,1,0,,,
train337,,,,1,0,1,0,1,0,,,
train338,,,,1,0,1,0,1,0,,,
train339,,,,1,0,1,0,1,0,,,
train340,,,,1,0,1,0,1,0,,,
train341,,,,1,0,1,0,1,0,,,
train342,,,,1,0,1,0,1,0,,,
train343,,,,1,0,1,0,1,0,,,
train344,,,,0,1,0,1,1,0,,,
train345,,,,0,1,0,1,1,0,,,
train346,,,,0,1,0,1,1,0,,,
train347,,,,1,0,0,1,1,0,,,
train348,,,,0,1,1,0,1,0,,,
train349,,,,0,1,1,0,1,0,,,
train350,,,,0,1,1,0,1,0,,,
train351,,,,0,1,1,0,1,0,,,
train352,,,,1,0,0,1,1,0,,,
train353,,,,1,0,0,1,1,0,,,
train354,,,,1,0,0,1,1,0,,,
train355,,,,1,0,0,1,1,0,,,
train356,,,,0,1,1,0,1,0,,,
train357,,,,0,1,1,0,1,0,,,
train358,,,,0,1,1,0,1,0,,,
train359,,,,0,1,1,0,1,0,,,
train360,,,,0,1,1,0,1,0,,,
train361,,,,0,1,1,0,1,0,,,
train362,,,,0,1,0,1,1,0,,,
train363,,,,1,0,1,0,1,0,,,
train364,,,,1,0,1,0,1,0,,,
train365,,,,1,0,1,0,1,0,,,
train366,,,,0,1,1,0,1,0,,,
train367,,,,1,0,1,0,1,0,,,
train368,,,,0,1,0,1,0,1,,,
train369,,,,0,1,0,1,0,1,,,
train370,,,,0,1,0,1,0,1,,,
train371,,,,0,1,0,1,1,0,,,
train372,,,,0,1,0,1,1,0,,,
train373,,,,0,1,0,1,1,0,,,
train374,,,,0,1,0,1,1,0,,,
train375,,,,0,1,1,0,1,0,,,
train376,,,,1,0,1,0,1,0,,,
train377,,,,1,0,1,0,1,0,,,
train378,,,,1,0,1,0,1,0,,,
train379,,,,1,0,1,0,1,0,,,
train380,,,,1,0,1,0,1,0,,,
train381,,,,1,0,1,0,1,0,,,
train382,,,,1,0,1,0,1,0,,,
train383,,,,1,0,1,0,1,0,,,
train384,,,,0,1,0,1,0,1,,,
train385,,,,0,1,0,1,0,1,,,
train386,,,,0,1,1,0,0,1,,,
train387,,,,1,0,1,0,0,1,,,
train388,,,,0,1,0,1,0,1,,,
train389,,,,0,1,0,1,0,1,,,
train390,,,,1,0,0,1,0,1,,,
train391,,,,1,0,0,1,0,1,,,
train392,,,,0,1,0,1,0,1,,,
train393,,,,0,1,0,1,0,1,,,
train394,,,,0,1,0,1,0,1,,,
train395,,,,0,1,1,0,1,0,,,
train396,,,,0,1,0,1,1,0,,,
train397,,,,0,1,0,1,1,0,,,
train398,,,,0,1,0,1,1,0,,,
train399,,,,1,0,1,0,1,0,,,
train400,,,,0,1,0,1,0,1,,,
train401,,,,0,1,0,1,1,0,,,
train402,,,,0,1,0,1,1,0,,,
train403,,,,0,1,0,1,1,0,,,
train404,,,,0,1,0,1,0,1,,,
train405,,,,0,1,1,0,1,0,,,
train406,,,,0,1,1,0,1,0,,,
train407,,,,0,1,1,0,1,0,,,
train408,,,,0,1,1,0,0,1,,,
train409,,,,0,1,1,0,0,1,,,
train410,,,,0,1,1,0,0,1,,,
train411,,,,0,1,1,0,0,1,,,
train412,,,,1,0,0,1,1,0,,,
train413,,,,1,0,0,1,1,0,,,
train414,,,,1,0,0,1,1,0,,,
train415,,,,1,0,0,1,1,0,,,
train416,,,,1,0,1,0,0,1,,,
train417,,,,1,0,1,0,0,1,,,
train418,,,,1,0,1,0,0,1,,,
train419,,,,1,0,1,0,0,1,,,
train420,,,,1,0,1,0,1,0,,,
train421,,,,1,0,1,0,1,0,,,
train422,,,,1,0,1,0,1,0,,,
train423,,,,1,0,1,0,1,0,,,
train424,,,,1,0,1,0,0,1,,,
train425,,,,1,0,1,0,0,1,,,
train426,,,,1,0,1,0,0,1,,,
train427,,,,1,0,1,0,1,0,,,
train428,,,,1,0,1,0,1,0,,,
train429,,,,1,0,1,0,1,0,,,
train430,,,,1,0,1,0,1,0,,,
train431,,,,1,0,1,0,1,0,,,
train432,,,,0,1,0,1,0,1,,,
train433,,,,0,1,1,0,1,0,,,
train434,,,,0,1,1,0,1,0,,,
train435,,,,0,1,1,0,1,0,,,
train436,,,,0,1,0,1,0,1,,,
train437,,,,0,1,0,1,1,0,,,
train438,,,,0,1,0,1,1,0,,,
train439,,,,0,1,0,1,1,0,,,
train440,,,,1,0,1,0,1,0,,,
train441,,,,1,0,1,0,1,0,,,
train442,,,,1,0,1,0,1,0,,,
train443,,,,1,0,1,0,1,0,,,
train444,,,,1,0,1,0,1,0,,,
train445,,,,1,0,1,0,1,0,,,
train446,,,,1,0,1,0,1,0,,,
train447,,,,1,0,1,0,1,0,,,
train448,,,,1,0,0,1,1,0,,,
train449,,,,1,0,0,1,1,0,,,
train450,,,,1,0,0,1,1,0,,,
train451,,,,1,0,0,1,1,0,,,
train452,,,,0,1,1,0,0,1,,,
train453,,,,0,1,1,0,0,1,,,
train454,,,,0,1,1,0,0,1,,,
train455,,,,0,1,1,0,0,1,,,
train456,,,,0,1,0,1,1,0,,,
train457,,,,0,1,1,0,1,0,,,
train458,,,,0,1,1,0,1,0,,,
train459,,,,0,1,1,0,1,0,,,
train460,,,,1,0,0,1,0,1,,,
train461,,,,1,0,0,1,1,0,,,
train462,,,,1,0,0,1,1,0,,,
train463,,,,1,0,0,1,1,0,,,
train464,,,,0,1,1,0,1,0,,,
train465,,,,0,1,1,0,1,0,,,
train466,,,,0,1,1,0,1,0,,,
train467,,,,1,0,1,0,1,0,,,
train468,,,,1,0,0,1,1,0,,,
train469,,,,1,0,1,0,1,0,,,
train470,,,,1,0,1,0,1,0,,,
train471,,,,1,0,1,0,1,0,,,
train472,,,,0,1,1,0,1,0,,,
train473,,,,1,0,1,0,0,1,,,
train474,,,,1,0,1,0,0,1,,,
train475,,,,1,0,1,0,1,0,,,
train476,,,,0,1,0,1,1,0,,,
train477,,,,0,1,1,0,1,0,,,
train478,,,,0,1,1,0,1,0,,,
train479,,,,0,1,1,0,1,0,,,
train480,,,,1,0,0,1,1,0,,,
train481,,,,1,0,0,1,1,0,,,
train482,,,,1,0,0,1,1,0,,,
train483,,,,1,0,0,1,1,0,,,
train484,,,,0,1,1,0,0,1,,,
train485,,,,0,1,1,0,0,1,,,
train486,,,,0,1,1,0,0,1,,,
train487,,,,0,1,1,0,0,1,,,
train488,,,,0,1,0,1,0,1,,,
train489,,,,1,0,0,1,0,1,,,
train490,,,,1,0,0,1,0,1,,,
train491,,,,1,0,0,1,0,1,,,
train492,,,,0,1,0,1,0,1,,,
train493,,,,0,1,0,1,0,1,,,
train494,,,,0,1,0,1,0,1,,,
train495,,,,0,1,0,1,0,1,,,
train496,,,,1,0,1,0,1,0,,,
train497,,,,1,0,1,0,1,0,,,
train498,,,,1,0,1,0,1,0,,,
train499,,,,1,0,1,0,1,0,,,
train500,,,,1,0,1,0,0,1,,,
train501,,,,1,0,1,0,0,1,,,
train502,,,,1,0,1,0,0,1,,,
train503,,,,1,0,1,0,0,1,,,
train504,,,,0,1,0,1,0,1,,,
train505,,,,0,1,0,1,0,1,,,
train506,,,,0,1,1,0,1,0,,,
train507,,,,0,1,1,0,1,0,,,
train508,,,,0,1,0,1,0,1,,,
train509,,,,0,1,0,1,0,1,,,
train510,,,,1,0,1,0,0,1,,,
train511,,,,1,0,1,0,1,0,,,
train512,,,,0,1,1,0,1,0,,,
train513,,,,0,1,1,0,1,0,,,
train514,,,,1,0,1,0,1,0,,,
train515,,,,1,0,1,0,0,1,,,
train516,,,,1,0,1,0,0,1,,,
train517,,,,1,0,1,0,0,1,,,
train518,,,,1,0,1,0,1,0,,,
train519,,,,1,0,0,1,1,0,,,
train520,,,,0,1,1,0,1,0,,,
train521,,,,0,1,1,0,1,0,,,
train522,,,,1,0,1,0,1,0,,,
train523,,,,1,0,1,0,1,0,,,
train524,,,,0,1,0,1,1,0,,,
train525,,,,0,1,0,1,1,0,,,
train526,,,,0,1,1,0,1,0,,,
train527,,,,0,1,1,0,1,0,,,
train528,,,,0,1,0,1,0,1,,,
train529,,,,0,1,0,1,0,1,,,
train530,,,,0,1,1,0,0,1,,,
train531,,,,0,1,1,0,0,1,,,
train532,,,,1,0,0,1,0,1,,,
train533,,,,1,0,0,1,0,1,,,
train534,,,,1,0,0,1,1,0,,,
train535,,,,1,0,0,1,1,0,,,
train536,,,,1,0,0,1,1,0,,,
train537,,,,1,0,0,1,1,0,,,
train538,,,,1,0,1,0,1,0,,,
train539,,,,1,0,1,0,1,0,,,
train540,,,,0,1,1,0,0,1,,,
train541,,,,1,0,1,0,0,1,,,
train542,,,,1,0,1,0,0,1,,,
train543,,,,1,0,1,0,1,0,,,
train544,,,,0,1,0,1,1,0,,,
train545,,,,1,0,0,1,1,0,,,
train546,,,,1,0,0,1,1,0,,,
train547,,,,1,0,0,1,1,0,,,
train548,,,,0,1,1,0,0,1,,,
train549,,,,0,1,1,0,0,1,,,
train550,,,,0,1,1,0,1,0,,,
train551,,,,1,0,1,0,1,0,,,
train552,,,,1,0,0,1,0,1,,,
train553,,,,1,0,0,1,0,1,,,
train554,,,,1,0,0,1,0,1,,,
train555,,,,1,0,0,1,0,1,,,
train556,,,,0,1,1,0,0,1,,,
train557,,,,0,1,1,0,0,1,,,
train558,,,,1,0,1,0,0,1,,,
train559,,,,1,0,1,0,0,1,,,
train560,,,,1,0,0,1,0,1,,,
train561,,,,1,0,0,1,1,0,,,
train562,,,,1,0,0,1,1,0,,,
train563,,,,1,0,0,1,1,0,,,
train564,,,,1,0,1,0,0,1,,,
train565,,,,1,0,1,0,0,1,,,
train566,,,,1,0,1,0,0,1,,,
train567,,,,1,0,1,0,0,1,,,
train568,,,,0,1,0,1,0,1,,,
train569,,,,0,1,0,1,0,1,,,
train570,,,,0,1,0,1,0,1,,,
train571,,,,0,1,1,0,0,1,,,
train572,,,,0,1,0,1,0,1,,,
train573,,,,0,1,0,1,0,1,,,
train574,,,,0,1,0,1,0,1,,,
train575,,,,0,1,0,1,1,0,,,
train576,,,,1,0,0,1,0,1,,,
train577,,,,0,1,0,1,0,1,,,
train578,,,,1,0,0,1,1,0,,,
train579,,,,1,0,0,1,1,0,,,
train580,,,,0,1,0,1,0,1,,,
train581,,,,0,1,1,0,0,1,,,
train582,,,,1,0,1,0,0,1,,,
train583,,,,1,0,1,0,0,1,,,
train584,,,,0,1,1,0,0,1,,,
train585,,,,0,1,1,0,0,1,,,
train586,,,,0,1,1,0,0,1,,,
train587,,,,1,0,1,0,0,1,,,
train588,,,,1,0,0,1,0,1,,,
train589,,,,1,0,0,1,0,1,,,
train590,,,,1,0,0,1,1,0,,,
train591,,,,1,0,0,1,1,0,,,
train592,,,,1,0,0,1,1,0,,,
train593,,,,1,0,0,1,1,0,,,
train594,,,,1,0,0,1,1,0,,,
train595,,,,1,0,0,1,1,0,,,
train596,,,,0,1,1,0,0,1,,,
train597,,,,0,1,1,0,0,1,,,
train598,,,,0,1,1,0,1,0,,,
train599,,,,0,1,1,0,1,0,,,
train600,,,,0,1,0,1,0,1,,,
train601,,,,0,1,1,0,0,1,,,
train602,,,,0,1,1,0,0,1,,,
train603,,,,0,1,1,0,0,1,,,
train604,,,,0,1,0,1,0,1,,,
train605,,,,0,1,0,1,1,0,,,
train606,,,,0,1,0,1,1,0,,,
train607,,,,1,0,0,1,1,0,,,
train608,,,,0,1,0,1,0,1,,,
train609,,,,0,1,0,1,0,1,,,
train610,,,,0,1,0,1,0,1,,,
train611,,,,0,1,0,1,1,0,,,
train612,,,,1,0,0,1,0,1,,,
train613,,,,1,0,0,1,0,1,,,
train614,,,,1,0,0,1,0,1,,,
train615,,,,1,0,0,1,0,1,,,
train616,,,,0,1,1,0,0,1,,,
train617,,,,1,0,1,0,0,1,,,
train618,,,,1,0,1,0,0,1,,,
train619,,,,1,0,1,0,0,1,,,
train620,,,,0,1,0,1,1,0,,,
train621,,,,1,0,1,0,1,0,,,
train622,,,,1,0,1,0,1,0,,,
train623,,,,1,0,0,1,1,0,,,
train624,,,,0,1,0,1,1,0,,,
train625,,,,0,1,0,1,1,0,,,
train626,,,,0,1,0,1,1,0,,,
train627,,,,1,0,0,1,1,0,,,
train628,,,,0,1,0,1,0,1,,,
train629,,,,0,1,0,1,0,1,,,
train630,,,,0,1,0,1,0,1,,,
train631,,,,0,1,1,0,0,1,,,
train632,,,,1,0,0,1,0,1,,,
train633,,,,1,0,0,1,0,1,,,
train634,,,,1,0,0,1,1,0,,,
train635,,,,1,0,0,1,1,0,,,
train636,,,,0,1,1,0,0,1,,,
train637,,,,0,1,1,0,0,1,,,
train638,,,,0,1,1,0,0,1,,,
train639,,,,0,1,1,0,0,1,,,
train640,,,,0,1,1,0,1,0,,,
train641,,,,0,1,1,0,1,0,,,
train642,,,,1,0,1,0,1,0,,,
train643,,,,1,0,1,0,1,0,,,
train644,,,,0,1,0,1,1,0,,,
train645,,,,0,1,0,1,1,0,,,
train646,,,,0,1,0,1,1,0,,,
train647,,,,0,1,1,0,1,0,,,
train648,,,,0,1,0,1,0,1,,,
train649,,,,0,1,0,1,1,0,,,
train650,,,,1,0,0,1,1,0,,,
train651,,,,1,0,0,1,1,0,,,
train652,,,,1,0,1,0,0,1,,,
train653,,,,1,0,1,0,0,1,,,
train654,,,,1,0,1,0,0,1,,,
train655,,,,1,0,1,0,0,1,,,
